'ID_REF','IDENTIFIER','GDS2545.soft.gz_table_0.GSM152804','GDS2545.soft.gz_table_0.GSM152805','GDS2545.soft.gz_table_0.GSM152806','GDS2545.soft.gz_table_0.GSM152807','GDS2545.soft.gz_table_0.GSM152808','GDS2545.soft.gz_table_0.GSM152809','GDS2545.soft.gz_table_0.GSM152810','GDS2545.soft.gz_table_0.GSM152811','GDS2545.soft.gz_table_0.GSM152812','GDS2545.soft.gz_table_0.GSM152813','GDS2545.soft.gz_table_0.GSM152814','GDS2545.soft.gz_table_0.GSM152815','GDS2545.soft.gz_table_0.GSM152816','GDS2545.soft.gz_table_0.GSM152817','GDS2545.soft.gz_table_0.GSM152818','GDS2545.soft.gz_table_0.GSM152819','GDS2545.soft.gz_table_0.GSM152820','GDS2545.soft.gz_table_0.GSM152821'
'36836_at','NRP1',7.0,34.7,21.3,53.0,19.1,12.1,59.7,27.2,18.3,28.6,21.0,15.2,10.0,82.7,30.5,15.8,30.8,31.9
'36837_at','KIF2C',39.8,12.1,43.6,9.0,7.4,17.0,39.5,8.2,35.0,24.7,8.1,3.5,18.4,11.8,17.6,13.4,11.6,14.5
'36838_at','KLK10',129.1,31.1,56.6,15.0,14.6,86.7,112.9,63.8,21.4,17.2,38.5,15.0,108.3,30.9,14.3,37.7,74.3,56.0
'36839_at','CDC6',24.0,6.3,45.2,34.1,15.8,19.5,130.8,32.2,27.1,15.4,26.7,35.9,5.9,37.5,4.4,19.6,9.7,21.7
'36840_at','DNAJC11',408.9,494.4,506.8,368.5,410.8,403.5,631.3,430.5,403.3,397.9,388.8,400.7,545.8,435.7,476.0,517.1,540.0,545.4
'36841_at','ACOT8',194.5,204.2,140.7,156.6,158.8,233.3,75.4,40.8,289.0,109.0,175.8,188.2,38.6,196.2,129.9,150.0,190.7,170.9
'36842_at','ERC2',13.6,6.7,3.9,27.2,5.0,3.4,79.1,4.1,12.5,27.2,13.5,19.7,41.0,21.6,16.9,40.6,9.2,45.1
'36843_at','SIPA1',168.0,142.8,73.2,143.2,96.9,140.6,31.1,43.2,222.3,109.6,118.9,103.3,148.7,31.3,54.9,157.3,253.5,236.2
'36844_at','DOCK3',21.8,21.4,26.4,4.8,12.7,9.5,90.2,51.8,13.2,16.1,6.5,32.6,11.5,15.2,28.1,33.4,36.9,44.9
'36845_at','MORC3',615.0,673.5,549.2,410.6,399.1,372.3,377.0,346.8,477.1,528.2,663.5,679.4,803.0,356.5,657.8,534.6,482.7,468.2
'36846_s_at','LSM7',505.7,529.6,384.3,609.6,623.6,539.1,279.4,560.1,552.4,497.9,501.2,460.3,476.7,317.9,492.4,463.2,530.2,479.2
'36847_r_at','LSM7',223.8,173.1,101.0,193.3,74.1,200.3,355.6,332.8,168.4,140.3,129.9,144.1,181.5,64.0,192.3,40.4,176.7,132.0
'36848_r_at','LSM7',37.0,152.0,37.9,32.7,53.2,35.5,93.7,237.3,29.4,29.8,21.3,26.3,108.6,43.3,41.5,52.5,285.1,82.0
'36849_at','ARHGAP29',118.1,84.6,86.5,64.0,43.8,64.9,106.6,68.8,67.3,78.9,132.3,62.1,62.0,57.6,120.3,56.5,46.9,78.1
'36850_at','TUSC3',33.7,7.1,31.5,54.5,13.9,37.8,56.6,43.9,68.1,41.5,39.2,82.5,43.6,12.5,4.2,33.3,40.9,79.4
'36851_g_at','TUSC3',127.5,100.3,130.7,229.9,41.9,204.6,22.6,62.3,266.8,179.8,196.6,284.6,71.3,87.5,47.0,111.4,81.5,139.4
